id,label
9633,downsample
6051,downsample
6599,downsample
9779,downsample
2061,downsample
5554,downsample
6651,downsample
6696,downsample
5376,downsample
2743,downsample
4352,downsample
13526,downsample
1553,downsample
10900,downsample
8063,downsample
8429,downsample
4987,downsample
12220,downsample
11784,downsample
2949,downsample
12718,downsample
3804,downsample
10184,downsample
7092,downsample
10045,downsample
2338,downsample
12172,downsample
3924,downsample
428,downsample
9029,downsample
10932,downsample
1878,downsample
10026,downsample
3497,downsample
2044,downsample
3283,downsample
5367,downsample
9434,downsample
7661,downsample
7172,downsample
2870,downsample
11249,downsample
13653,downsample
13170,downsample
6231,downsample
8169,downsample
10033,downsample
5955,downsample
2449,downsample
1847,downsample
11371,downsample
233,downsample
165,downsample
1946,downsample
10511,downsample
1602,downsample
2241,downsample
13475,downsample
13444,downsample
1472,downsample
8274,downsample
13873,downsample
2444,downsample
12972,downsample
3130,downsample
7000,downsample
13594,downsample
4300,downsample
4085,downsample
5460,downsample
13876,downsample
5046,downsample
12676,downsample
10577,downsample
4981,downsample
13332,downsample
878,downsample
2341,downsample
1213,downsample
7041,downsample
7008,downsample
6476,downsample
960,downsample
152,downsample
9999,downsample
1546,downsample
7764,downsample
4644,downsample
9605,downsample
7420,downsample
4954,downsample
6597,downsample
5475,downsample
3426,downsample
3065,downsample
1310,downsample
5166,downsample
5421,downsample
6347,downsample
11536,downsample
12966,downsample
12647,downsample
2145,downsample
9296,downsample
10005,downsample
10644,downsample
12965,downsample
7840,downsample
6846,downsample
3034,downsample
10496,downsample
13471,downsample
5618,downsample
5206,downsample
7130,downsample
2246,downsample
11073,downsample
12937,downsample
14703,downsample
4949,downsample
12752,downsample
6973,downsample
253,downsample
10313,downsample
9738,downsample
10067,downsample
2665,downsample
10688,downsample
12075,downsample
9135,downsample
7416,downsample
10600,downsample
1834,downsample
11037,downsample
14111,downsample
13176,downsample
4793,downsample
6125,downsample
8161,downsample
4330,downsample
3518,downsample
2330,downsample
2802,downsample
7218,downsample
5880,downsample
10028,downsample
2126,downsample
8143,downsample
762,downsample
10522,downsample
14902,downsample
14785,downsample
9412,downsample
12090,downsample
4340,downsample
5163,downsample
10282,downsample
3611,downsample
5380,downsample
4936,downsample
10378,downsample
3496,downsample
11139,downsample
8679,downsample
3829,downsample
3457,downsample
2942,downsample
11356,downsample
1238,downsample
9240,downsample
12896,downsample
3898,downsample
3987,downsample
793,downsample
14012,downsample
9193,downsample
384,downsample
13378,downsample
8035,downsample
12519,downsample
515,downsample
9642,downsample
8218,downsample
13887,downsample
14627,downsample
12464,downsample
8417,downsample
1256,downsample
12171,downsample
3695,downsample
1403,downsample
11254,downsample
2339,downsample
1895,downsample
11183,downsample
13124,downsample
5755,downsample
8029,downsample
10125,downsample
11288,downsample
12936,downsample
5203,downsample
2080,downsample
1926,downsample
823,downsample
11856,downsample
11643,downsample
1393,downsample
8855,downsample
12258,downsample
2268,downsample
12063,downsample
2228,downsample
7678,downsample
9308,downsample
11676,downsample
7429,downsample
9737,downsample
2940,downsample
10432,downsample
10166,downsample
9196,downsample
3544,downsample
4327,downsample
626,downsample
1031,downsample
1046,downsample
14544,downsample
13224,downsample
7125,downsample
13875,downsample
4190,downsample
7121,downsample
1604,downsample
13532,downsample
7992,downsample
1276,downsample
6665,downsample
9935,downsample
11674,downsample
6130,downsample
7476,downsample
2560,downsample
2658,downsample
13678,downsample
9245,downsample
7761,downsample
10223,downsample
2131,downsample
4313,downsample
13707,downsample
9446,downsample
11010,downsample
10338,downsample
4873,downsample
12673,downsample
4385,downsample
13552,downsample
355,downsample
12336,downsample
9399,downsample
6483,downsample
12830,downsample
11678,downsample
362,downsample
9438,downsample
8163,downsample
11207,downsample
13622,downsample
11136,downsample
7648,downsample
6450,downsample
7058,downsample
4697,downsample
193,downsample
14660,downsample
6991,downsample
10222,downsample
11864,downsample
6484,downsample
12193,downsample
10441,downsample
6971,downsample
5512,downsample
4156,downsample
11145,downsample
12114,downsample
4960,downsample
5590,downsample
7613,downsample
9179,downsample
9159,downsample
9881,downsample
7203,downsample
4353,downsample
784,downsample
6511,downsample
14044,downsample
13775,downsample
7637,downsample
11781,downsample
395,downsample
415,downsample
328,downsample
14591,downsample
4210,downsample
461,downsample
12390,downsample
9907,downsample
95,downsample
3654,downsample
3623,downsample
9504,downsample
3096,downsample
7545,downsample
10855,downsample
3977,downsample
8950,downsample
10075,downsample
725,downsample
680,downsample
8764,downsample
8206,downsample
868,downsample
14105,downsample
8864,downsample
12609,downsample
13171,downsample
3888,downsample
3397,downsample
8885,downsample
7091,downsample
3731,downsample
3278,downsample
14730,downsample
10822,downsample
7356,downsample
9231,downsample
2729,downsample
11156,downsample
10259,downsample
4070,downsample
12700,downsample
11153,downsample
10267,downsample
11761,downsample
5832,downsample
3155,downsample
12245,downsample
10683,downsample
6090,downsample
2814,downsample
7076,downsample
11909,downsample
14669,downsample
2200,downsample
9770,downsample
3020,downsample
3942,downsample
9230,downsample
1147,downsample
623,downsample
10443,downsample
7918,downsample
10255,downsample
8940,downsample
4723,downsample
207,downsample
3495,downsample
5762,downsample
1471,downsample
7599,downsample
4894,downsample
1342,downsample
3962,downsample
11095,downsample
3165,downsample
4108,downsample
14366,downsample
3748,downsample
11082,downsample
10277,downsample
351,downsample
14565,downsample
5919,downsample
8648,downsample
5470,downsample
1906,downsample
9086,downsample
3256,downsample
5506,downsample
4934,downsample
3409,downsample
8036,downsample
6241,downsample
12743,downsample
13926,downsample
14214,downsample
4980,downsample
1005,downsample
13362,downsample
4645,downsample
12613,downsample
1387,downsample
1740,downsample
7962,downsample
9573,downsample
2664,downsample
3890,downsample
7668,downsample
9571,downsample
10357,downsample
10288,downsample
7426,downsample
12970,downsample
14164,downsample
1102,downsample
5101,downsample
9155,downsample
6008,downsample
9365,downsample
11412,downsample
6270,downsample
4651,downsample
1296,downsample
6542,downsample
1582,downsample
14420,downsample
10150,downsample
1188,downsample
4734,downsample
2947,downsample
8515,downsample
1510,downsample
247,downsample
1500,downsample
8473,downsample
8302,downsample
9469,downsample
12514,downsample
6679,downsample
1447,downsample
11449,downsample
5943,downsample
8041,downsample
11113,downsample
14291,downsample
11897,downsample
9369,downsample
2559,downsample
14397,downsample
4551,downsample
1980,downsample
11814,downsample
7510,downsample
4624,downsample
12370,downsample
7658,downsample
11058,downsample
6658,downsample
13489,downsample
7227,downsample
14408,downsample
1673,downsample
6290,downsample
7347,downsample
2388,downsample
5574,downsample
8777,downsample
1358,downsample
13607,downsample
11441,downsample
14481,downsample
13417,downsample
5812,downsample
3114,downsample
8763,downsample
12131,downsample
13209,downsample
10537,downsample
1709,downsample
2775,downsample
10278,downsample
2810,downsample
1054,downsample
5852,downsample
9618,downsample
4404,downsample
11916,downsample
4898,downsample
867,downsample
12786,downsample
3372,downsample
8120,downsample
5709,downsample
8830,downsample
11199,downsample
5946,downsample
6685,downsample
2988,downsample
474,downsample
11990,downsample
9880,downsample
1864,downsample
9131,downsample
6533,downsample
8619,downsample
11796,downsample
8496,downsample
189,downsample
4221,downsample
11812,downsample
10502,downsample
9383,downsample
2553,downsample
3296,downsample
6716,downsample
14553,downsample
14877,downsample
13679,downsample
11756,downsample
12148,downsample
12380,downsample
2313,downsample
8747,downsample
7298,downsample
6749,downsample
7680,downsample
10235,downsample
6582,downsample
372,downsample
7955,downsample
4821,downsample
7337,downsample
4735,downsample
2893,downsample
5685,downsample
3249,downsample
13372,downsample
11105,downsample
14013,downsample
1065,downsample
5259,downsample
14869,downsample
12243,downsample
7746,downsample
6934,downsample
2209,downsample
3410,downsample
1203,downsample
526,downsample
8150,downsample
10107,downsample
12235,downsample
8582,downsample
148,downsample
7595,downsample
2512,downsample
8714,downsample
6438,downsample
14442,downsample
11169,downsample
9334,downsample
12246,downsample
5277,downsample
12001,downsample
14721,downsample
14301,downsample
10655,downsample
6455,downsample
12601,downsample
5791,downsample
2975,downsample
996,downsample
7441,downsample
12579,downsample
5479,downsample
496,downsample
5210,downsample
747,downsample
11024,downsample
8536,downsample
4626,downsample
14174,downsample
14903,downsample
12003,downsample
11972,downsample
10685,downsample
1211,downsample
10536,downsample
11423,downsample
6166,downsample
5202,downsample
5647,downsample
3550,downsample
887,downsample
5986,downsample
13858,downsample
452,downsample
14841,downsample
9516,downsample
2833,downsample
124,downsample
4946,downsample
7629,downsample
13352,downsample
8964,downsample
14918,downsample
393,downsample
10795,downsample
1665,downsample
13005,downsample
11731,downsample
8633,downsample
12290,downsample
8787,downsample
13676,downsample
12430,downsample
10296,downsample
5649,downsample
3332,downsample
7147,downsample
4875,downsample
3797,downsample
614,downsample
6628,downsample
1828,downsample
8347,downsample
8598,downsample
4536,downsample
12416,downsample
8882,downsample
7666,downsample
11828,downsample
2473,downsample
513,downsample
33,downsample
5530,downsample
72,downsample
10930,downsample
13710,downsample
11031,downsample
991,downsample
2054,downsample
14843,downsample
2079,downsample
8781,downsample
6197,downsample
9930,downsample
3634,downsample
9952,downsample
469,downsample
9091,downsample
13259,downsample
4131,downsample
4600,downsample
4470,downsample
12691,downsample
684,downsample
369,downsample
1208,downsample
1280,downsample
1607,downsample
5702,downsample
10809,downsample
10598,downsample
2096,downsample
5838,downsample
5676,downsample
3997,downsample
6530,downsample
12776,downsample
6805,downsample
10400,downsample
7128,downsample
9722,downsample
4776,downsample
10735,downsample
2476,downsample
11755,downsample
2147,downsample
12950,downsample
326,downsample
5132,downsample
12083,downsample
4685,downsample
6168,downsample
7399,downsample
9275,downsample
9638,downsample
7241,downsample
8317,downsample
4855,downsample
3078,downsample
6956,downsample
9841,downsample
4931,downsample
7615,downsample
851,downsample
5720,downsample
5172,downsample
2611,downsample
694,downsample
2503,downsample
6772,downsample
3999,downsample
11709,downsample
2170,downsample
9943,downsample
8649,downsample
12853,downsample
884,downsample
7042,downsample
1140,downsample
8094,downsample
6793,downsample
4034,downsample
10281,downsample
5665,downsample
11575,downsample
6292,downsample
14845,downsample
13050,downsample
861,downsample
1421,downsample
11833,downsample
7509,downsample
2753,downsample
4275,downsample
7505,downsample
8487,downsample
6280,downsample
9829,downsample
12353,downsample
8289,downsample
9256,downsample
7823,downsample
2408,downsample
6701,downsample
3691,downsample
7981,downsample
12618,downsample
8677,downsample
11176,downsample
7912,downsample
7593,downsample
742,downsample
8433,downsample
8292,downsample
6640,downsample
3645,downsample
14248,downsample
14827,downsample
13445,downsample
4914,downsample
5529,downsample
2919,downsample
3574,downsample
2281,downsample
5088,downsample
12399,downsample
13261,downsample
3228,downsample
22,downsample
2963,downsample
14276,downsample
4547,downsample
6004,downsample
5087,downsample
8215,downsample
754,downsample
5661,downsample
13165,downsample
13078,downsample
1600,downsample
9502,downsample
8241,downsample
293,downsample
2110,downsample
4573,downsample
7700,downsample
9873,downsample
7794,downsample
14562,downsample
164,downsample
9255,downsample
3845,downsample
3975,downsample
620,downsample
11478,downsample
1713,downsample
813,downsample
10574,downsample
6684,downsample
9753,downsample
14382,downsample
1690,downsample
1643,downsample
12974,downsample
13826,downsample
4606,downsample
7644,downsample
12456,downsample
4737,downsample
12804,downsample
9358,downsample
3023,downsample
13063,downsample
13693,downsample
6682,downsample
5379,downsample
11485,downsample
11466,downsample
136,downsample
2151,downsample
12289,downsample
2269,downsample
10901,downsample
1720,downsample
10479,downsample
13973,downsample
1346,downsample
13925,downsample
7016,downsample
10139,downsample
9806,downsample
14816,downsample
4827,downsample
11720,downsample
5100,downsample
9710,downsample
14054,downsample
8450,downsample
10297,downsample
5845,downsample
2039,downsample
4430,downsample
5739,downsample
11011,downsample
9542,downsample
9739,downsample
10792,downsample
8087,downsample
6066,downsample
6118,downsample
7858,downsample
3394,downsample
4519,downsample
11515,downsample
9859,downsample
4427,downsample
6271,downsample
4217,downsample
9518,downsample
12292,downsample
3707,downsample
6899,downsample
12477,downsample
8078,downsample
304,downsample
5072,downsample
5052,downsample
8954,downsample
14763,downsample
11998,downsample
1304,downsample
13672,downsample
11918,downsample
3937,downsample
9555,downsample
3685,downsample
12671,downsample
10340,downsample
7539,downsample
9025,downsample
1613,downsample
3055,downsample
8278,downsample
13208,downsample
3878,downsample
4244,downsample
7134,downsample
10925,downsample
2568,downsample
4613,downsample
2711,downsample
976,downsample
4124,downsample
7309,downsample
9954,downsample
12763,downsample
14165,downsample
12582,downsample
6418,downsample
14750,downsample
13521,downsample
13568,downsample
7262,downsample
3274,downsample
9992,downsample
10386,downsample
6014,downsample
13742,downsample
6213,downsample
7717,downsample
228,downsample
5334,downsample
1452,downsample
621,downsample
11780,downsample
8681,downsample
7442,downsample
12761,downsample
11038,downsample
2308,downsample
11172,downsample
12817,downsample
13954,downsample
2076,downsample
10326,downsample
11332,downsample
1491,downsample
14383,downsample
14824,downsample
1222,downsample
13242,downsample
6055,downsample
5873,downsample
8246,downsample
10710,downsample
8956,downsample
4686,downsample
13099,downsample
2298,downsample
1538,downsample
1097,downsample
4121,downsample
12352,downsample
4694,downsample
7468,downsample
6198,downsample
257,downsample
9388,downsample
10042,downsample
7272,downsample
12039,downsample
9328,downsample
8860,downsample
6088,downsample
588,downsample
10954,downsample
9963,downsample
1863,downsample
2606,downsample
1287,downsample
5800,downsample
2813,downsample
11255,downsample
5934,downsample
503,downsample
3736,downsample
740,downsample
11730,downsample
12125,downsample
3961,downsample
9201,downsample
8351,downsample
12238,downsample
14030,downsample
12156,downsample
14937,downsample
13799,downsample
827,downsample
12521,downsample
12510,downsample
6322,downsample
13600,downsample
1641,downsample
6986,downsample
5916,downsample
